code,priority,meaning,causes,actions
50,MED,Measured blood temperature > 41°C,Ambient temperature t oo high Blood gas analyzer not operational Water not circulating through heater and oxygenator,"Remove OrganOx metra cover and/or move device to a cooler environment IMMEDIATELY. Check that blood gas analyzer (BGA) is in 'Operate' mode and that data displayed on BGA matches data on the OrganOx metra GUI. If not, power the OrganOx metra down and restart as per IFU. Contact your Clinical Specialist if problem persists. Check that both water connections to oxygenator are fully engaged and have no kinks. Contact your Clinical Specialist if problem persists."
60*,MED,Measured blood temperature > 41°C for more than 10 minutes,Blood gas analyzer temperature sensor or water heater malfunction.,Stop perfusion and remove liver from device using cold perfusion. It is the surgeon’s discretion whether to transplant this organ.
80*†,MED,Low battery,No external power source Battery nearing end-of- life.,Connect to an external power source. Note that temperature control and oxygenation will be automatically shut down once alarm sounds. Ensure battery is fully charged before device used again. Contact your Clinical Specialist if rapid discharge problem persists.
90*†,MED,Empty battery – system has stopped,Battery empty. No external power source.,"URGENTLY connect to an external power source and re-start the perfusion or re- start the device as necessary. If no power source available, stop perfusion and remove liver from device using cold perfusion. It is the surgeon’s discretion whether to transplant this organ."
100,LOW,Glucose update required,No glucose value has been entered for 4 hours or more,Measure blood glucose and enter value.
110,LOW,Less than 2 hours of perfusion remaining.,Perfusion has exceeded 22 hours with a maximum allowed period of 24 hours.,Remove liver from device as per IFU by 24 hours.
120,LOW,Temperature within electronics enclosure > 60°C,Excessive heat production or reduced heat dissipation within device.,Ensure blood temperature remains physiological. Remove outer hardcover and/or move device to cooler environment. If problem persists contact your Clinical Specialist
130,MED,Temperature within electronics enclosure is > 70°C – system has stopped,Excessive heat production or reduced heat dissipation within device.,Ensure blood temperature remains physiological. URGENTLY remove outer hardcover and/or move device to cooler environment. Re-start the perfusion or re-start the device as necessary. If problem persists contact your Clinical Specialist.
140*†,MED,No IVC pressure detected,IVC pressure sensor is not connected IVC pressure sensor is faulty,"Check that IVC pressure sensor is connected. Disconnect and reconnect IVC sensor according to IFU. If liver not connected, replace disposable set (do not attempt to replace sensor). If liver connected, stop perfusion and remove liver from device using cold perfusion. If problem persists with diﬀerent disposable set, contact your Clinical Specialist."
150*†,MED,No Arterial pressure detected,Arterial pressure sensor is not connected Arterial pressure sensor is faulty,"Check that arterial pressure sensor is connected. Disconnect and reconnect IVC sensor according to IFU. If liver not connected, replace disposable set (do not attempt to replace sensor). If liver connected, stop perfusion and remove liver from device using cold perfusion. It is the surgeon’s discretion whether to transplant this organ. If problem persists with diﬀerent disposable set, contact your Clinical Specialist."
